time,position_variance,velocity_variance
2.64,2.9380628551738157,95.73203988187346
2.66,2.938066460324518,95.73325746634251
2.68,2.9380698227885933,95.73439308711767
2.7,2.938072958900003,95.73545226074464
2.72,2.938075883893731,95.73644013260622
2.74,2.9380786119796767,95.73736150187831
2.7600000000000002,2.9380811564115845,95.73822084481007
2.7800000000000002,2.9380835295513448,95.73902233644053
2.8000000000000003,2.9380857429289726,95.73976987085634
2.82,2.9380878072985643,95.74046708008859
2.84,2.938089732690486,95.7411173517398
2.86,2.938091528460057,95.74172384542634
2.88,2.938093203332966,95.74228950811568
2.9,2.938094765447627,95.74281708843274
2.92,2.9380962223946945,95.74330915000445
2.94,2.9380975812539134,95.74376808390696
2.96,2.938098848628503,95.7441961202761
2.98,2.9381000306772176,95.74459533913695
3,2.9381011331442575,95.74496768050508
